Product Name,Brand,Skin Concern,Severity,Ingredients,Product Type,Skin Type,Price,Customer Rating,Reviews,Availability,Feature_Blob
Four Toner,Paula's Choice,"Blackheads, Whiteheads",Low,Tea Tree Oil  Vitamin C  Benzoyl Peroxide,Toner,"normal, combination, sensitive",2814.5,4.2,3773,"Nykaa, Ulta, Dermstore","Blackheads, Whiteheads Low Tea Tree Oil  Vitamin C  Benzoyl Peroxide Toner"
Follow Cleanser,CeraVe,Papules,Low,Salicylic Acid  Benzoyl Peroxide  Niacinamide,Serum,"sensitive, oily",757.76,3.6,3200,"Amazon, Ulta, Official Website",Papules Low Salicylic Acid  Benzoyl Peroxide  Niacinamide Serum
Security Treatment,Cetaphil,"Nodules, Papules, Pustules",Medium,Vitamin C  Salicylic Acid  Niacinamide,Exfoliator,"sensitive, dry, normal",1164.58,3.7,3560,"Amazon, Ulta, Official Website","Nodules, Papules, Pustules Medium Vitamin C  Salicylic Acid  Niacinamide Exfoliator"
Show Moisturizer,Clinique,"Blackheads, Dark Spot, Pustules",High,Retinol  Azelaic Acid  Lactic Acid,Moisturizer,"dry, combination, oily",1513.33,4.5,2131,"Dermstore, Sephora, Ulta","Blackheads, Dark Spot, Pustules High Retinol  Azelaic Acid  Lactic Acid Moisturizer"
Morning Toner,Clinique,"Blackheads, Dark Spot, Papules",High,Glycolic Acid  Benzoyl Peroxide  Vitamin C,Toner,"normal, combination, oily",1057.07,4.7,3931,"Dermstore, Official Website, Nykaa","Blackheads, Dark Spot, Papules High Glycolic Acid  Benzoyl Peroxide  Vitamin C Toner"
News Moisturizer,The Ordinary,"Blackheads, Papules, Pustules",High,Lactic Acid  Centella Asiatica  Centella Asiatica,Serum,"combination, oily, sensitive",2575.41,4.4,1574,"Ulta, Amazon","Blackheads, Papules, Pustules High Lactic Acid  Centella Asiatica  Centella Asiatica Serum"
Receive Treatment,Eucerin,"Blackheads, Nodules, Whiteheads",Low,Hyaluronic Acid  Hyaluronic Acid  Centella Asiatica,Serum,"sensitive, normal, dry",2364.94,4.8,782,"Sephora, Nykaa, Amazon","Blackheads, Nodules, Whiteheads Low Hyaluronic Acid  Hyaluronic Acid  Centella Asiatica Serum"
Peace Cleanser,Innisfree,"Blackheads, Dark Spot",High,Azelaic Acid  Niacinamide  Niacinamide,Exfoliator,"oily, dry, normal",698.49,4.6,3442,"Dermstore, Ulta","Blackheads, Dark Spot High Azelaic Acid  Niacinamide  Niacinamide Exfoliator"
Book Moisturizer,Paula's Choice,"Dark Spot, Papules, Pustules",Medium,Centella Asiatica  Tea Tree Oil  Vitamin C,Exfoliator,"combination, dry, sensitive",1544.03,4.6,3658,"Dermstore, Official Website, Nykaa","Dark Spot, Papules, Pustules Medium Centella Asiatica  Tea Tree Oil  Vitamin C Exfoliator"
Theory Cleanser,The Ordinary,"Dark Spot, Nodules, Pustules",Low,Zinc PCA  Salicylic Acid  Azelaic Acid,Spot Treatment,"normal, combination, sensitive",2955.55,4.4,177,Dermstore,"Dark Spot, Nodules, Pustules Low Zinc PCA  Salicylic Acid  Azelaic Acid Spot Treatment"
Woman Treatment,Bioderma,"Dark Spot, Pustules, Whiteheads",High,Tea Tree Oil  Niacinamide  Salicylic Acid,Moisturizer,"combination, normal, oily",1009.17,3.8,1150,"Official Website, Nykaa, Sephora","Dark Spot, Pustules, Whiteheads High Tea Tree Oil  Niacinamide  Salicylic Acid Moisturizer"
Image Moisturizer,Neutrogena,"Nodules, Pustules, Whiteheads",Medium,Glycolic Acid  Lactic Acid  Azelaic Acid,Toner,"normal, oily, combination",1646.73,4.2,770,"Amazon, Nykaa, Sephora","Nodules, Pustules, Whiteheads Medium Glycolic Acid  Lactic Acid  Azelaic Acid Toner"
Yes Serum,Paula's Choice,"Blackheads, Nodules, Papules",Medium,Retinol  Centella Asiatica  Salicylic Acid,Serum,"sensitive, normal",1784.31,4.5,1831,"Sephora, Nykaa, Ulta","Blackheads, Nodules, Papules Medium Retinol  Centella Asiatica  Salicylic Acid Serum"
Difficult Treatment,The Ordinary,"Dark Spot, Papules",Medium,Vitamin C  Azelaic Acid  Zinc PCA,Spot Treatment,"normal, dry",2818.32,3.8,344,"Official Website, Nykaa, Sephora","Dark Spot, Papules Medium Vitamin C  Azelaic Acid  Zinc PCA Spot Treatment"
Live Exfoliator,La Roche-Posay,"Nodules, Papules, Whiteheads",High,Benzoyl Peroxide  Benzoyl Peroxide  Glycolic Acid,Spot Treatment,"sensitive, combination, normal",1855.86,3.8,1883,"Official Website, Ulta, Dermstore","Nodules, Papules, Whiteheads High Benzoyl Peroxide  Benzoyl Peroxide  Glycolic Acid Spot Treatment"
Morning Toner,Bioderma,"Blackheads, Dark Spot, Papules",Medium,Hyaluronic Acid  Niacinamide  Retinol,Cleanser,"normal, combination, oily",676.27,4.1,3567,"Amazon, Sephora, Dermstore","Blackheads, Dark Spot, Papules Medium Hyaluronic Acid  Niacinamide  Retinol Cleanser"
Owner Exfoliator,Clinique,"Blackheads, Nodules, Whiteheads",Medium,Retinol  Benzoyl Peroxide  Tea Tree Oil,Spot Treatment,"normal, oily, dry",1439.9,4.0,1288,"Sephora, Dermstore, Official Website","Blackheads, Nodules, Whiteheads Medium Retinol  Benzoyl Peroxide  Tea Tree Oil Spot Treatment"
Fish Cleanser,La Roche-Posay,"Dark Spot, Pustules",High,Azelaic Acid  Zinc PCA  Zinc PCA,Cleanser,"normal, combination",2779.81,4.8,2607,"Amazon, Sephora, Dermstore","Dark Spot, Pustules High Azelaic Acid  Zinc PCA  Zinc PCA Cleanser"
Another Treatment,Cetaphil,"Dark Spot, Pustules, Whiteheads",High,Centella Asiatica  Tea Tree Oil  Retinol,Toner,"sensitive, normal",1128.5,4.7,4034,"Sephora, Ulta, Dermstore","Dark Spot, Pustules, Whiteheads High Centella Asiatica  Tea Tree Oil  Retinol Toner"
President Toner,Clinique,"Blackheads, Pustules",Low,Lactic Acid  Salicylic Acid  Centella Asiatica,Toner,"dry, normal, oily",1622.36,3.7,1443,"Dermstore, Sephora, Official Website","Blackheads, Pustules Low Lactic Acid  Salicylic Acid  Centella Asiatica Toner"
Himself Serum,CeraVe,"Blackheads, Nodules, Whiteheads",Low,Zinc PCA  Azelaic Acid  Salicylic Acid,Spot Treatment,"combination, dry",1654.1,3.9,1800,"Nykaa, Dermstore, Amazon","Blackheads, Nodules, Whiteheads Low Zinc PCA  Azelaic Acid  Salicylic Acid Spot Treatment"
Start Exfoliator,Paula's Choice,"Dark Spot, Papules, Pustules",Medium,Azelaic Acid  Glycolic Acid  Lactic Acid,Spot Treatment,"dry, oily, combination",1827.53,4.9,1423,"Ulta, Amazon, Sephora","Dark Spot, Papules, Pustules Medium Azelaic Acid  Glycolic Acid  Lactic Acid Spot Treatment"
Reach Toner,CeraVe,"Nodules, Pustules",Medium,Vitamin C  Retinol  Retinol,Cleanser,"oily, sensitive",1726.56,3.6,2163,"Ulta, Official Website, Dermstore","Nodules, Pustules Medium Vitamin C  Retinol  Retinol Cleanser"
Such Treatment,Eucerin,Pustules,High,Lactic Acid  Centella Asiatica  Glycolic Acid,Exfoliator,"sensitive, oily, combination",1912.7,3.8,1385,"Dermstore, Official Website, Nykaa",Pustules High Lactic Acid  Centella Asiatica  Glycolic Acid Exfoliator
Red Exfoliator,Bioderma,"Nodules, Papules, Pustules",Low,Glycolic Acid  Hyaluronic Acid  Centella Asiatica,Cleanser,"combination, dry, sensitive",1660.39,3.9,4287,"Official Website, Ulta","Nodules, Papules, Pustules Low Glycolic Acid  Hyaluronic Acid  Centella Asiatica Cleanser"
Write Cleanser,Neutrogena,"Blackheads, Pustules",High,Vitamin C  Lactic Acid  Benzoyl Peroxide,Serum,"combination, dry",1527.48,4.3,1123,"Official Website, Nykaa, Dermstore","Blackheads, Pustules High Vitamin C  Lactic Acid  Benzoyl Peroxide Serum"
Though Moisturizer,Neutrogena,"Blackheads, Papules, Whiteheads",High,Tea Tree Oil  Azelaic Acid  Lactic Acid,Serum,"combination, sensitive, dry",1876.73,4.1,2786,"Dermstore, Official Website, Sephora","Blackheads, Papules, Whiteheads High Tea Tree Oil  Azelaic Acid  Lactic Acid Serum"
Determine Toner,La Roche-Posay,"Blackheads, Dark Spot, Pustules",Low,Retinol  Niacinamide  Zinc PCA,Moisturizer,"combination, normal",2225.44,3.6,4006,"Official Website, Nykaa","Blackheads, Dark Spot, Pustules Low Retinol  Niacinamide  Zinc PCA Moisturizer"
Herself Serum,Clinique,"Blackheads, Dark Spot, Pustules",Medium,Benzoyl Peroxide  Benzoyl Peroxide  Retinol,Moisturizer,"oily, sensitive, combination",1568.39,4.6,576,"Amazon, Nykaa, Dermstore","Blackheads, Dark Spot, Pustules Medium Benzoyl Peroxide  Benzoyl Peroxide  Retinol Moisturizer"
Star Moisturizer,Paula's Choice,"Nodules, Pustules, Whiteheads",Medium,Vitamin C  Lactic Acid  Lactic Acid,Cleanser,"dry, combination, normal",2267.73,5.0,717,"Official Website, Amazon, Ulta","Nodules, Pustules, Whiteheads Medium Vitamin C  Lactic Acid  Lactic Acid Cleanser"
She Cleanser,Neutrogena,Whiteheads,Low,Hyaluronic Acid  Glycolic Acid  Lactic Acid,Toner,normal,1358.99,4.6,4095,"Ulta, Official Website, Amazon",Whiteheads Low Hyaluronic Acid  Glycolic Acid  Lactic Acid Toner
Bill Serum,Clinique,"Dark Spot, Whiteheads",Medium,Retinol  Tea Tree Oil  Glycolic Acid,Toner,"oily, sensitive, dry",1361.88,4.4,3278,"Dermstore, Nykaa, Sephora","Dark Spot, Whiteheads Medium Retinol  Tea Tree Oil  Glycolic Acid Toner"
Leg Cleanser,Innisfree,"Nodules, Papules, Pustules",Low,Lactic Acid  Salicylic Acid  Lactic Acid,Spot Treatment,"sensitive, oily, combination",750.48,4.5,176,"Official Website, Dermstore, Nykaa","Nodules, Papules, Pustules Low Lactic Acid  Salicylic Acid  Lactic Acid Spot Treatment"
Paper Cleanser,The Ordinary,"Blackheads, Papules, Pustules",Low,Tea Tree Oil  Hyaluronic Acid  Tea Tree Oil,Cleanser,"sensitive, dry",440.86,4.6,2001,"Nykaa, Ulta, Amazon","Blackheads, Papules, Pustules Low Tea Tree Oil  Hyaluronic Acid  Tea Tree Oil Cleanser"
May Treatment,Eucerin,"Pustules, Whiteheads",Low,Vitamin C  Niacinamide  Tea Tree Oil,Spot Treatment,"normal, dry, oily",431.43,5.0,895,"Ulta, Official Website, Dermstore","Pustules, Whiteheads Low Vitamin C  Niacinamide  Tea Tree Oil Spot Treatment"
Condition Cleanser,La Roche-Posay,"Blackheads, Nodules, Papules",Medium,Niacinamide  Niacinamide  Lactic Acid,Exfoliator,"dry, normal, oily",2014.49,4.5,1724,"Ulta, Nykaa, Amazon","Blackheads, Nodules, Papules Medium Niacinamide  Niacinamide  Lactic Acid Exfoliator"
Sit Treatment,Cetaphil,"Nodules, Pustules, Whiteheads",Medium,Benzoyl Peroxide  Lactic Acid  Centella Asiatica,Exfoliator,oily,1767.14,5.0,2095,"Dermstore, Nykaa","Nodules, Pustules, Whiteheads Medium Benzoyl Peroxide  Lactic Acid  Centella Asiatica Exfoliator"
Situation Treatment,Paula's Choice,"Papules, Pustules, Whiteheads",High,Glycolic Acid  Zinc PCA  Salicylic Acid,Exfoliator,oily,1785.03,3.8,1023,"Sephora, Official Website, Dermstore","Papules, Pustules, Whiteheads High Glycolic Acid  Zinc PCA  Salicylic Acid Exfoliator"
Today Exfoliator,Clinique,"Dark Spot, Nodules, Whiteheads",Medium,Zinc PCA  Hyaluronic Acid  Hyaluronic Acid,Exfoliator,oily,404.52,4.7,3614,"Ulta, Dermstore","Dark Spot, Nodules, Whiteheads Medium Zinc PCA  Hyaluronic Acid  Hyaluronic Acid Exfoliator"
Free Toner,Innisfree,"Dark Spot, Papules",Low,Vitamin C  Zinc PCA  Glycolic Acid,Exfoliator,"sensitive, dry, normal",749.1,4.5,1287,"Official Website, Sephora, Dermstore","Dark Spot, Papules Low Vitamin C  Zinc PCA  Glycolic Acid Exfoliator"
Finally Cleanser,Clinique,Pustules,Low,Niacinamide  Glycolic Acid  Hyaluronic Acid,Spot Treatment,"combination, dry, oily",2829.74,3.6,361,"Nykaa, Ulta, Dermstore",Pustules Low Niacinamide  Glycolic Acid  Hyaluronic Acid Spot Treatment
Theory Cleanser,CeraVe,"Pustules, Whiteheads",High,Tea Tree Oil  Vitamin C  Niacinamide,Toner,"sensitive, dry, normal",2594.4,3.9,4951,"Ulta, Nykaa","Pustules, Whiteheads High Tea Tree Oil  Vitamin C  Niacinamide Toner"
Add Moisturizer,Neutrogena,"Papules, Whiteheads",Medium,Benzoyl Peroxide  Zinc PCA  Azelaic Acid,Toner,"oily, combination, sensitive",452.89,3.7,3596,"Nykaa, Sephora, Amazon","Papules, Whiteheads Medium Benzoyl Peroxide  Zinc PCA  Azelaic Acid Toner"
Lead Serum,Clinique,"Papules, Pustules, Whiteheads",Low,Centella Asiatica  Niacinamide  Tea Tree Oil,Spot Treatment,"sensitive, dry, normal",1483.11,4.8,1843,"Ulta, Sephora, Nykaa","Papules, Pustules, Whiteheads Low Centella Asiatica  Niacinamide  Tea Tree Oil Spot Treatment"
Remain Moisturizer,Bioderma,"Blackheads, Pustules, Whiteheads",Medium,Tea Tree Oil  Vitamin C  Azelaic Acid,Toner,"oily, dry, normal",784.9,5.0,2826,"Ulta, Sephora","Blackheads, Pustules, Whiteheads Medium Tea Tree Oil  Vitamin C  Azelaic Acid Toner"
None Exfoliator,Neutrogena,"Dark Spot, Pustules",Medium,Tea Tree Oil  Hyaluronic Acid  Centella Asiatica,Spot Treatment,"sensitive, dry",2097.42,3.5,1003,"Nykaa, Sephora, Official Website","Dark Spot, Pustules Medium Tea Tree Oil  Hyaluronic Acid  Centella Asiatica Spot Treatment"
Admit Toner,Eucerin,Whiteheads,High,Tea Tree Oil  Zinc PCA  Hyaluronic Acid,Serum,"combination, oily",1301.3,4.8,127,"Ulta, Sephora, Amazon",Whiteheads High Tea Tree Oil  Zinc PCA  Hyaluronic Acid Serum
Star Serum,Clinique,"Dark Spot, Papules",Medium,Niacinamide  Zinc PCA  Hyaluronic Acid,Serum,"normal, oily, sensitive",583.88,4.2,2253,"Official Website, Ulta, Dermstore","Dark Spot, Papules Medium Niacinamide  Zinc PCA  Hyaluronic Acid Serum"
Meeting Moisturizer,CeraVe,"Blackheads, Nodules, Papules",Low,Zinc PCA  Tea Tree Oil  Centella Asiatica,Serum,"oily, dry, normal",1246.36,4.6,3414,"Ulta, Nykaa","Blackheads, Nodules, Papules Low Zinc PCA  Tea Tree Oil  Centella Asiatica Serum"
Same Treatment,CeraVe,"Blackheads, Dark Spot, Whiteheads",High,Benzoyl Peroxide  Lactic Acid  Lactic Acid,Spot Treatment,"normal, sensitive, dry",1319.42,4.6,3734,"Sephora, Nykaa, Ulta","Blackheads, Dark Spot, Whiteheads High Benzoyl Peroxide  Lactic Acid  Lactic Acid Spot Treatment"
Number Moisturizer,Bioderma,"Dark Spot, Nodules, Pustules",Medium,Zinc PCA  Centella Asiatica  Glycolic Acid,Toner,"oily, combination, dry",2302.34,4.9,333,"Amazon, Sephora","Dark Spot, Nodules, Pustules Medium Zinc PCA  Centella Asiatica  Glycolic Acid Toner"
Whatever Cleanser,Innisfree,"Nodules, Papules, Whiteheads",High,Hyaluronic Acid  Tea Tree Oil  Glycolic Acid,Toner,"oily, sensitive, dry",2338.07,4.0,3641,"Sephora, Official Website, Dermstore","Nodules, Papules, Whiteheads High Hyaluronic Acid  Tea Tree Oil  Glycolic Acid Toner"
Term Cleanser,Paula's Choice,"Nodules, Papules, Whiteheads",High,Salicylic Acid  Centella Asiatica  Centella Asiatica,Serum,"combination, dry",1467.22,3.8,4209,"Dermstore, Nykaa, Amazon","Nodules, Papules, Whiteheads High Salicylic Acid  Centella Asiatica  Centella Asiatica Serum"
Whole Treatment,Clinique,"Dark Spot, Papules",Medium,Tea Tree Oil  Salicylic Acid  Centella Asiatica,Cleanser,"dry, combination, sensitive",2736.11,3.7,129,"Sephora, Dermstore, Ulta","Dark Spot, Papules Medium Tea Tree Oil  Salicylic Acid  Centella Asiatica Cleanser"
Here Exfoliator,The Ordinary,"Dark Spot, Nodules, Whiteheads",High,Benzoyl Peroxide  Benzoyl Peroxide  Niacinamide,Moisturizer,"combination, oily, sensitive",2301.94,4.6,4203,"Sephora, Official Website, Ulta","Dark Spot, Nodules, Whiteheads High Benzoyl Peroxide  Benzoyl Peroxide  Niacinamide Moisturizer"
Citizen Treatment,La Roche-Posay,"Dark Spot, Nodules, Papules",Medium,Niacinamide  Retinol  Azelaic Acid,Serum,"oily, normal, sensitive",1515.48,3.9,4269,Nykaa,"Dark Spot, Nodules, Papules Medium Niacinamide  Retinol  Azelaic Acid Serum"
Tell Toner,Neutrogena,"Dark Spot, Nodules",High,Azelaic Acid  Centella Asiatica  Retinol,Serum,"dry, combination, oily",2466.12,4.7,2296,"Sephora, Official Website, Dermstore","Dark Spot, Nodules High Azelaic Acid  Centella Asiatica  Retinol Serum"
Father Exfoliator,Innisfree,"Blackheads, Dark Spot, Papules",Low,Vitamin C  Zinc PCA  Benzoyl Peroxide,Toner,"dry, combination, oily",2335.48,4.6,1088,"Sephora, Ulta, Official Website","Blackheads, Dark Spot, Papules Low Vitamin C  Zinc PCA  Benzoyl Peroxide Toner"
Food Treatment,Bioderma,"Dark Spot, Nodules, Whiteheads",High,Salicylic Acid  Azelaic Acid  Hyaluronic Acid,Serum,"sensitive, normal",1383.14,3.7,2938,"Official Website, Nykaa, Dermstore","Dark Spot, Nodules, Whiteheads High Salicylic Acid  Azelaic Acid  Hyaluronic Acid Serum"
Nothing Toner,La Roche-Posay,"Dark Spot, Nodules, Pustules",High,Benzoyl Peroxide  Zinc PCA  Salicylic Acid,Moisturizer,"combination, sensitive, dry",1584.3,4.1,1892,"Ulta, Amazon","Dark Spot, Nodules, Pustules High Benzoyl Peroxide  Zinc PCA  Salicylic Acid Moisturizer"
Anything Cleanser,Eucerin,"Blackheads, Dark Spot, Pustules",Low,Salicylic Acid  Benzoyl Peroxide  Zinc PCA,Moisturizer,"sensitive, oily, dry",979.98,4.3,513,"Sephora, Dermstore, Amazon","Blackheads, Dark Spot, Pustules Low Salicylic Acid  Benzoyl Peroxide  Zinc PCA Moisturizer"
Enough Moisturizer,La Roche-Posay,"Blackheads, Nodules, Papules",High,Glycolic Acid  Centella Asiatica  Lactic Acid,Serum,"sensitive, combination, normal",2556.28,4.7,3382,"Sephora, Dermstore, Official Website","Blackheads, Nodules, Papules High Glycolic Acid  Centella Asiatica  Lactic Acid Serum"
Cup Treatment,Bioderma,"Dark Spot, Nodules, Papules",Low,Retinol  Glycolic Acid  Azelaic Acid,Cleanser,"normal, oily",1891.44,3.8,3692,"Dermstore, Ulta","Dark Spot, Nodules, Papules Low Retinol  Glycolic Acid  Azelaic Acid Cleanser"
My Moisturizer,Neutrogena,"Dark Spot, Pustules, Whiteheads",Medium,Salicylic Acid  Niacinamide  Retinol,Exfoliator,"normal, oily, sensitive",485.95,4.3,876,"Amazon, Official Website, Ulta","Dark Spot, Pustules, Whiteheads Medium Salicylic Acid  Niacinamide  Retinol Exfoliator"
Child Moisturizer,La Roche-Posay,"Papules, Pustules",Medium,Hyaluronic Acid  Retinol  Lactic Acid,Exfoliator,"oily, combination, dry",2181.16,4.5,3905,Sephora,"Papules, Pustules Medium Hyaluronic Acid  Retinol  Lactic Acid Exfoliator"
Company Moisturizer,Neutrogena,"Blackheads, Pustules",Low,Niacinamide  Vitamin C  Azelaic Acid,Spot Treatment,"sensitive, dry, oily",2614.82,4.1,1885,"Official Website, Nykaa, Amazon","Blackheads, Pustules Low Niacinamide  Vitamin C  Azelaic Acid Spot Treatment"
War Toner,Neutrogena,"Blackheads, Papules, Pustules",High,Niacinamide  Hyaluronic Acid  Vitamin C,Moisturizer,"normal, oily, dry",2021.37,4.7,1829,"Ulta, Sephora, Amazon","Blackheads, Papules, Pustules High Niacinamide  Hyaluronic Acid  Vitamin C Moisturizer"
Them Toner,Cetaphil,"Papules, Pustules, Whiteheads",Low,Benzoyl Peroxide  Benzoyl Peroxide  Tea Tree Oil,Toner,"normal, dry, combination",2148.35,3.6,846,"Official Website, Sephora","Papules, Pustules, Whiteheads Low Benzoyl Peroxide  Benzoyl Peroxide  Tea Tree Oil Toner"
Defense Treatment,Paula's Choice,"Blackheads, Nodules, Papules",High,Hyaluronic Acid  Tea Tree Oil  Hyaluronic Acid,Spot Treatment,"oily, normal, sensitive",2768.31,4.6,4313,"Ulta, Nykaa, Dermstore","Blackheads, Nodules, Papules High Hyaluronic Acid  Tea Tree Oil  Hyaluronic Acid Spot Treatment"
Relationship Cleanser,Neutrogena,"Blackheads, Nodules, Pustules",Medium,Tea Tree Oil  Salicylic Acid  Benzoyl Peroxide,Exfoliator,"sensitive, dry, combination",2929.08,3.8,688,"Amazon, Dermstore, Nykaa","Blackheads, Nodules, Pustules Medium Tea Tree Oil  Salicylic Acid  Benzoyl Peroxide Exfoliator"
Drug Treatment,Neutrogena,"Blackheads, Nodules, Pustules",High,Tea Tree Oil  Lactic Acid  Glycolic Acid,Exfoliator,"combination, oily, sensitive",1110.18,4.4,1514,"Ulta, Nykaa","Blackheads, Nodules, Pustules High Tea Tree Oil  Lactic Acid  Glycolic Acid Exfoliator"
Sport Toner,Neutrogena,"Blackheads, Pustules",Low,Hyaluronic Acid  Niacinamide  Retinol,Spot Treatment,"oily, sensitive",2612.24,3.5,3994,Dermstore,"Blackheads, Pustules Low Hyaluronic Acid  Niacinamide  Retinol Spot Treatment"
Red Toner,Paula's Choice,Papules,Low,Benzoyl Peroxide  Azelaic Acid  Glycolic Acid,Moisturizer,"sensitive, normal, oily",1503.06,4.9,4725,"Dermstore, Amazon, Official Website",Papules Low Benzoyl Peroxide  Azelaic Acid  Glycolic Acid Moisturizer
Condition Treatment,Bioderma,"Blackheads, Pustules, Whiteheads",Medium,Lactic Acid  Zinc PCA  Azelaic Acid,Exfoliator,"sensitive, oily, normal",2553.85,4.0,1241,"Amazon, Dermstore, Ulta","Blackheads, Pustules, Whiteheads Medium Lactic Acid  Zinc PCA  Azelaic Acid Exfoliator"
Operation Toner,Cetaphil,"Blackheads, Nodules, Papules",Medium,Vitamin C  Zinc PCA  Centella Asiatica,Serum,"oily, sensitive, dry",510.13,3.6,1676,"Ulta, Nykaa, Amazon","Blackheads, Nodules, Papules Medium Vitamin C  Zinc PCA  Centella Asiatica Serum"
Admit Treatment,Cetaphil,"Blackheads, Dark Spot, Nodules",High,Retinol  Centella Asiatica  Retinol,Spot Treatment,"combination, normal",2076.79,3.9,4322,"Official Website, Nykaa","Blackheads, Dark Spot, Nodules High Retinol  Centella Asiatica  Retinol Spot Treatment"
Enjoy Treatment,La Roche-Posay,"Blackheads, Nodules, Whiteheads",Low,Niacinamide  Retinol  Lactic Acid,Toner,"dry, sensitive, oily",2335.7,4.8,4274,"Amazon, Sephora, Nykaa","Blackheads, Nodules, Whiteheads Low Niacinamide  Retinol  Lactic Acid Toner"
Treatment Toner,Bioderma,"Blackheads, Dark Spot, Nodules",Low,Benzoyl Peroxide  Lactic Acid  Tea Tree Oil,Spot Treatment,"dry, normal, oily",2962.78,4.4,3108,"Official Website, Ulta","Blackheads, Dark Spot, Nodules Low Benzoyl Peroxide  Lactic Acid  Tea Tree Oil Spot Treatment"
Common Exfoliator,Paula's Choice,"Dark Spot, Nodules, Papules",High,Centella Asiatica  Azelaic Acid  Glycolic Acid,Serum,"combination, oily, dry",2752.83,4.7,4328,"Amazon, Dermstore, Ulta","Dark Spot, Nodules, Papules High Centella Asiatica  Azelaic Acid  Glycolic Acid Serum"
Billion Exfoliator,CeraVe,"Blackheads, Dark Spot, Pustules",Medium,Zinc PCA  Niacinamide  Tea Tree Oil,Exfoliator,"dry, combination, sensitive",1482.37,4.3,761,"Nykaa, Dermstore","Blackheads, Dark Spot, Pustules Medium Zinc PCA  Niacinamide  Tea Tree Oil Exfoliator"
Face Treatment,Neutrogena,"Papules, Pustules",High,Retinol  Vitamin C  Retinol,Exfoliator,"sensitive, combination, oily",495.94,4.1,3489,"Official Website, Amazon, Ulta","Papules, Pustules High Retinol  Vitamin C  Retinol Exfoliator"
Call Exfoliator,Innisfree,"Dark Spot, Pustules",Medium,Retinol  Glycolic Acid  Tea Tree Oil,Toner,"normal, oily, dry",2070.64,4.8,1499,"Ulta, Nykaa","Dark Spot, Pustules Medium Retinol  Glycolic Acid  Tea Tree Oil Toner"
Really Serum,La Roche-Posay,"Dark Spot, Nodules, Papules",High,Glycolic Acid  Tea Tree Oil  Retinol,Spot Treatment,"dry, combination, normal",824.14,4.9,3010,"Nykaa, Dermstore, Ulta","Dark Spot, Nodules, Papules High Glycolic Acid  Tea Tree Oil  Retinol Spot Treatment"
With Moisturizer,Innisfree,"Nodules, Pustules, Whiteheads",Low,Azelaic Acid  Tea Tree Oil  Benzoyl Peroxide,Moisturizer,"combination, normal",1981.13,3.5,3386,"Amazon, Sephora, Ulta","Nodules, Pustules, Whiteheads Low Azelaic Acid  Tea Tree Oil  Benzoyl Peroxide Moisturizer"
May Moisturizer,CeraVe,"Nodules, Pustules, Whiteheads",Low,Salicylic Acid  Salicylic Acid  Tea Tree Oil,Serum,"dry, sensitive, oily",651.63,3.8,1368,"Official Website, Amazon","Nodules, Pustules, Whiteheads Low Salicylic Acid  Salicylic Acid  Tea Tree Oil Serum"
Region Treatment,Paula's Choice,"Blackheads, Papules, Pustules",High,Centella Asiatica  Lactic Acid  Benzoyl Peroxide,Moisturizer,"sensitive, combination",1160.39,4.4,2151,"Official Website, Nykaa","Blackheads, Papules, Pustules High Centella Asiatica  Lactic Acid  Benzoyl Peroxide Moisturizer"
Argue Moisturizer,The Ordinary,"Nodules, Papules, Pustules",Low,Tea Tree Oil  Retinol  Vitamin C,Exfoliator,combination,1312.87,4.4,4980,"Ulta, Amazon","Nodules, Papules, Pustules Low Tea Tree Oil  Retinol  Vitamin C Exfoliator"
Ability Moisturizer,Bioderma,"Nodules, Papules, Pustules",High,Azelaic Acid  Lactic Acid  Zinc PCA,Spot Treatment,"combination, sensitive, oily",1237.11,4.0,3227,"Nykaa, Ulta, Dermstore","Nodules, Papules, Pustules High Azelaic Acid  Lactic Acid  Zinc PCA Spot Treatment"
Reflect Moisturizer,La Roche-Posay,"Blackheads, Nodules",High,Benzoyl Peroxide  Centella Asiatica  Centella Asiatica,Spot Treatment,"oily, dry, combination",2385.93,4.5,4427,"Amazon, Official Website, Ulta","Blackheads, Nodules High Benzoyl Peroxide  Centella Asiatica  Centella Asiatica Spot Treatment"
Campaign Cleanser,Cetaphil,Pustules,Medium,Tea Tree Oil  Vitamin C  Hyaluronic Acid,Serum,"combination, dry, normal",302.12,4.3,106,Dermstore,Pustules Medium Tea Tree Oil  Vitamin C  Hyaluronic Acid Serum
Beyond Moisturizer,Cetaphil,"Blackheads, Nodules, Whiteheads",Medium,Centella Asiatica  Centella Asiatica  Niacinamide,Exfoliator,"dry, combination, oily",2497.76,4.9,3861,"Dermstore, Official Website","Blackheads, Nodules, Whiteheads Medium Centella Asiatica  Centella Asiatica  Niacinamide Exfoliator"
So Exfoliator,Bioderma,"Blackheads, Dark Spot, Papules",Low,Centella Asiatica  Lactic Acid  Azelaic Acid,Serum,"oily, sensitive, dry",367.99,3.5,2054,"Amazon, Dermstore","Blackheads, Dark Spot, Papules Low Centella Asiatica  Lactic Acid  Azelaic Acid Serum"
Sea Cleanser,Cetaphil,"Dark Spot, Nodules, Papules",High,Tea Tree Oil  Hyaluronic Acid  Vitamin C,Serum,combination,2506.74,5.0,4685,"Amazon, Official Website, Nykaa","Dark Spot, Nodules, Papules High Tea Tree Oil  Hyaluronic Acid  Vitamin C Serum"
